,PID,TID,Timestamp,Channel,CPU,Event type,Contents,Trace Packet Header,Packet Context,Stream Context,Event Context,Prio,Source
879,823.0,1084.0,19:42:02.447 189 850,my-kernel-channel_5,5,syscall_entry_futex,"uaddr=824634629448, op=129, val=1, utime=0, uaddr2=0, val3=0, context.packet_seq_num=0, context.cpu_id=5, context._procname=""snapd"", context._pid=823, context._tid=1084","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061474021832, timestamp_end=12032520527260, content_size=338353000, packet_size=338362368, packet_seq_num=0, events_discarded=0, cpu_id=5]","[procname=""snapd"", pid=823, tid=1084]",,20.0,[kernel/futex.c:0]
880,823.0,1084.0,19:42:02.447 229 928,my-kernel-channel_5,5,syscall_exit_futex,"ret=1, uaddr=824634629448, uaddr2=0, context.packet_seq_num=0, context.cpu_id=5, context._procname=""snapd"", context._pid=823, context._tid=1084","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061474021832, timestamp_end=12032520527260, content_size=338353000, packet_size=338362368, packet_seq_num=0, events_discarded=0, cpu_id=5]","[procname=""snapd"", pid=823, tid=1084]",,20.0,[kernel/futex.c:0]
881,823.0,1081.0,19:42:02.447 312 762,my-kernel-channel_10,10,syscall_entry_futex,"uaddr=824639331656, op=128, val=0, utime=0, uaddr2=0, val3=0, context.packet_seq_num=0, context.cpu_id=10, context._procname=""snapd"", context._pid=823, context._tid=1081","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061700954862, timestamp_end=12032520611629, content_size=222417872, packet_size=222429184, packet_seq_num=0, events_discarded=0, cpu_id=10]","[procname=""snapd"", pid=823, tid=1081]",,20.0,[kernel/futex.c:0]
882,823.0,981.0,19:42:02.447 323 666,my-kernel-channel_9,9,syscall_entry_futex,"uaddr=824639275336, op=128, val=0, utime=0, uaddr2=0, val3=0, context.packet_seq_num=0, context.cpu_id=9, context._procname=""snapd"", context._pid=823, context._tid=981","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061653861185, timestamp_end=12032520550489, content_size=254239784, packet_size=254246912, packet_seq_num=0, events_discarded=0, cpu_id=9]","[procname=""snapd"", pid=823, tid=981]",,20.0,[kernel/futex.c:0]
883,823.0,1089.0,19:42:02.447 329 186,my-kernel-channel_3,3,syscall_entry_futex,"uaddr=824650662216, op=128, val=0, utime=0, uaddr2=0, val3=0, context.packet_seq_num=0, context.cpu_id=3, context._procname=""snapd"", context._pid=823, context._tid=1089","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061388252426, timestamp_end=12032520506802, content_size=316066768, packet_size=316080128, packet_seq_num=0, events_discarded=0, cpu_id=3]","[procname=""snapd"", pid=823, tid=1089]",,20.0,[kernel/futex.c:0]
884,823.0,1049.0,19:42:02.447 330 779,my-kernel-channel_4,4,syscall_entry_futex,"uaddr=824635439560, op=128, val=0, utime=0, uaddr2=0, val3=0, context.packet_seq_num=0, context.cpu_id=4, context._procname=""snapd"", context._pid=823, context._tid=1049","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061431372640, timestamp_end=12032520519741, content_size=266535856, packet_size=266567680, packet_seq_num=0, events_discarded=0, cpu_id=4]","[procname=""snapd"", pid=823, tid=1049]",,20.0,[kernel/futex.c:0]
885,823.0,1084.0,19:42:02.447 344 167,my-kernel-channel_5,5,syscall_entry_futex,"uaddr=824639330760, op=128, val=0, utime=0, uaddr2=0, val3=0, context.packet_seq_num=0, context.cpu_id=5, context._procname=""snapd"", context._pid=823, context._tid=1084","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061474021832, timestamp_end=12032520527260, content_size=338353000, packet_size=338362368, packet_seq_num=0, events_discarded=0, cpu_id=5]","[procname=""snapd"", pid=823, tid=1084]",,20.0,[kernel/futex.c:0]
886,823.0,1043.0,19:42:02.447 347 047,my-kernel-channel_6,6,syscall_entry_futex,"uaddr=824639783240, op=128, val=0, utime=0, uaddr2=0, val3=0, context.packet_seq_num=0, context.cpu_id=6, context._procname=""snapd"", context._pid=823, context._tid=1043","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061518650716, timestamp_end=12032520535117, content_size=234542240, packet_size=234553344, packet_seq_num=0, events_discarded=0, cpu_id=6]","[procname=""snapd"", pid=823, tid=1043]",,20.0,[kernel/futex.c:0]
887,823.0,960.0,19:42:02.447 472 093,my-kernel-channel_7,7,syscall_exit_futex,"ret=0, uaddr=824634629448, uaddr2=0, context.packet_seq_num=0, context.cpu_id=7, context._procname=""snapd"", context._pid=823, context._tid=960","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061560688338, timestamp_end=12032520542532, content_size=259127120, packet_size=259129344, packet_seq_num=0, events_discarded=0, cpu_id=7]","[procname=""snapd"", pid=823, tid=960]",,20.0,[kernel/futex.c:0]
888,823.0,960.0,19:42:02.447 493 574,my-kernel-channel_7,7,syscall_entry_futex,"uaddr=824639668552, op=129, val=1, utime=0, uaddr2=0, val3=0, context.packet_seq_num=0, context.cpu_id=7, context._procname=""snapd"", context._pid=823, context._tid=960","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061560688338, timestamp_end=12032520542532, content_size=259127120, packet_size=259129344, packet_seq_num=0, events_discarded=0, cpu_id=7]","[procname=""snapd"", pid=823, tid=960]",,20.0,[kernel/futex.c:0]
