PID,TID,Category,procname,count,total_time_ns,avg_time_ns,max_time_ns
21077,21077,I/O (File and Disk Operations),stress-ng,18,118164001047,6564666724.833333,19224071885
21077,21077,Synchronization and Timing,stress-ng,8,2001814826,250226853.25,250361387
21077,21077,Unknown,stress-ng,1,3485,3485.0,3485
21078,21078,CPU and Process Management,stress-ng,1,3357,3357.0,3357
21078,21078,Event Polling and Notification,stress-ng,1,742609659,742609659.0,742609659
21078,21078,I/O (File and Disk Operations),stress-ng,309,119420408191,386473812.9158576,17119520033
21078,21078,Unknown,stress-ng,1,3256,3256.0,3256
21079,21079,CPU and Process Management,stress-ng,1,1846,1846.0,1846
21079,21079,I/O (File and Disk Operations),stress-ng,239,120161653539,502768424.8493724,17185694419
21079,21079,Unknown,stress-ng,1,2213,2213.0,2213
21080,21080,CPU and Process Management,stress-ng,1,2524,2524.0,2524
21080,21080,I/O (File and Disk Operations),stress-ng,27,117493965238,4351628342.148149,19915891848
21080,21080,Synchronization and Timing,stress-ng,8,2670684353,333835544.125,335935468
21080,21080,Unknown,stress-ng,1,2363,2363.0,2363
21081,21081,CPU and Process Management,stress-ng,1,2554,2554.0,2554
21081,21081,I/O (File and Disk Operations),stress-ng,30,117156474756,3905215825.2,19930393096
21081,21081,Synchronization and Timing,stress-ng,9,3006649518,334072168.6666667,335879342
21081,21081,Unknown,stress-ng,1,2552,2552.0,2552
21082,21082,CPU and Process Management,stress-ng,1,1759,1759.0,1759
21082,21082,Event Polling and Notification,stress-ng,48,108210490275,2254385214.0625,3901594590
21082,21082,I/O (File and Disk Operations),stress-ng,64,10632342435,166130350.546875,1821165524
21082,21082,Timers,stress-ng,1,3830,3830.0,3830
21082,21082,Unknown,stress-ng,17,591159264,34774074.35294118,414458867
21083,21083,CPU and Process Management,stress-ng,1,2468,2468.0,2468
21083,21083,I/O (File and Disk Operations),stress-ng,1105,8713888047,7885871.535746606,1672073718
21083,21083,Synchronization and Timing,stress-ng,1104,110869634528,100425393.5942029,104106322
21083,21083,Unknown,stress-ng,1,2599,2599.0,2599
21084,21084,CPU and Process Management,stress-ng,1,2531,2531.0,2531
21084,21084,Memory Management,stress-ng,425728,3056029591,7178.3617497557125,4068799
21084,21084,Synchronization and Timing,stress-ng,1109,111368569387,100422515.22723174,104982949
21084,21084,Unknown,stress-ng,1,2532,2532.0,2532
21085,21085,CPU and Process Management,stress-ng,1,1647,1647.0,1647
21085,21085,I/O (File and Disk Operations),stress-ng,15,120151985175,8010132345.0,18821243432
21085,21085,Synchronization and Timing,stress-ng,7,8456506,1208072.2857142857,1387815
21085,21085,Unknown,stress-ng,1,1686,1686.0,1686
21086,21086,CPU and Process Management,stress-ng,1,1874,1874.0,1874
21086,21086,I/O (File and Disk Operations),stress-ng,17,120150024503,7067648500.176471,20511442880
21086,21086,Synchronization and Timing,stress-ng,8,10944277,1368034.625,2179222
21086,21086,Unknown,stress-ng,1,1452,1452.0,1452
21087,21087,CPU and Process Management,stress-ng,1,1853,1853.0,1853
21087,21087,I/O (File and Disk Operations),stress-ng,29,120150159134,4143108935.6551723,20511154690
21087,21087,Synchronization and Timing,stress-ng,9,12692698,1410299.7777777778,2664135
21087,21087,Unknown,stress-ng,1,1907,1907.0,1907
21088,21088,CPU and Process Management,stress-ng,1,2751,2751.0,2751
21088,21088,I/O (File and Disk Operations),stress-ng,640,119600338218,186875528.465625,5429900217
21088,21088,Unknown,stress-ng,1,2486,2486.0,2486
21089,21089,CPU and Process Management,stress-ng,1,2499,2499.0,2499
21089,21089,I/O (File and Disk Operations),stress-ng,69,34997504898,507210215.9130435,3540744072
21089,21089,Synchronization and Timing,stress-ng,17,85010435766,5000613868.588235,5003975489
21089,21089,Unknown,stress-ng,1,2309,2309.0,2309
21090,21090,CPU and Process Management,stress-ng,1,2225,2225.0,2225
21090,21090,Event Polling and Notification,stress-ng,19,787188810,41430990.0,94909043
21090,21090,I/O (File and Disk Operations),stress-ng,18,15799121490,877728971.6666666,3193151473
21090,21090,Unknown,stress-ng,40,103016443192,2575411079.8,6340188872
21091,21091,CPU and Process Management,stress-ng,1,1426,1426.0,1426
21091,21091,Event Polling and Notification,stress-ng,6,310392785,51732130.833333336,124046983
21091,21091,I/O (File and Disk Operations),stress-ng,19,119293239579,6278591556.789474,16968367086
21091,21091,Unknown,stress-ng,1,1350,1350.0,1350
21102,21102,CPU and Process Management,bash,2,1704090967,852045483.5,1704086878
21102,21102,CPU and Process Management,sleep,1,5179,5179.0,5179
21102,21102,I/O (File and Disk Operations),bash,1,6153,6153.0,6153
21102,21102,I/O (File and Disk Operations),sleep,17,387819,22812.882352941175,83655
21102,21102,Memory Management,sleep,16,353577,22098.5625,93716
21102,21102,Synchronization and Timing,sleep,1,60000330959,60000330959.0,60000330959
21102,21102,Unknown,bash,8,22335,2791.875,5124
21102,21102,Unknown,sleep,6,54317,9052.833333333334,34407
21108,21108,CPU and Process Management,bash,18,13726510,762583.8888888889,13693345
21108,21108,CPU and Process Management,date,1,4698,4698.0,4698
21108,21108,I/O (File and Disk Operations),bash,18,54213833,3011879.611111111,26397781
21108,21108,I/O (File and Disk Operations),date,27,7348801,272177.81481481483,7125297
21108,21108,Memory Management,date,16,198478,12404.875,33975
21108,21108,Unknown,bash,14,37245,2660.3571428571427,4683
21108,21108,Unknown,date,6,21203,3533.8333333333335,6828
21109,21109,CPU and Process Management,bash,2,13598487,6799243.5,13595069
21109,21109,CPU and Process Management,iperf,1,5173,5173.0,5173
21109,21109,I/O (File and Disk Operations),bash,1,5458,5458.0,5458
21109,21109,I/O (File and Disk Operations),iperf,24,30091731,1253822.125,29915355
21109,21109,Memory Management,iperf,38,430036,11316.736842105263,34435
21109,21109,Synchronization and Timing,iperf,4,120027469453,30006867363.25,120027243489
21109,21109,Unknown,bash,8,18683,2335.375,3888
21109,21109,Unknown,iperf,18,225584,12532.444444444445,90040
21109,21110,CPU and Process Management,iperf,1,4138,4138.0,4138
21109,21110,I/O (File and Disk Operations),iperf,9,157561,17506.777777777777,41975
21109,21110,Memory Management,iperf,6,122937,20489.5,48956
21109,21110,Networking (Socket and Communication),iperf,1,6359,6359.0,6359
21109,21110,Synchronization and Timing,iperf,7285,119938036476,16463697.525875086,24711598
21109,21110,Unknown,iperf,4,14881,3720.25,4609
21109,21111,I/O (File and Disk Operations),iperf,1203,226161151,187997.63175394846,654872
21109,21111,Memory Management,iperf,7,212066,30295.14285714286,90522
21109,21111,Networking (Socket and Communication),iperf,25,19140751,765630.04,18614777
21109,21111,Synchronization and Timing,iperf,1113699,117383723980,105399.86475699449,6396746
21109,21111,Timers,iperf,1,3491,3491.0,3491
21109,21111,Unknown,iperf,4,11944,2986.0,3630
21125,21125,CPU and Process Management,bash,2,811021,405510.5,806713
21125,21125,CPU and Process Management,sleep,1,4136,4136.0,4136
21125,21125,I/O (File and Disk Operations),bash,1,8265,8265.0,8265
21125,21125,I/O (File and Disk Operations),sleep,17,114375,6727.941176470588,21361
21125,21125,Memory Management,sleep,16,167684,10480.25,26988
21125,21125,Synchronization and Timing,sleep,1,60000202195,60000202195.0,60000202195
21125,21125,Unknown,bash,8,25339,3167.375,5753
21125,21125,Unknown,sleep,6,17185,2864.1666666666665,3871
21130,21130,CPU and Process Management,bash,18,484851,26936.166666666668,455190
21130,21130,CPU and Process Management,date,1,4587,4587.0,4587
21130,21130,I/O (File and Disk Operations),bash,18,110606,6144.777777777777,21044
21130,21130,I/O (File and Disk Operations),date,27,157142,5820.074074074074,33759
21130,21130,Memory Management,date,16,163062,10191.375,25271
21130,21130,Unknown,bash,14,41691,2977.9285714285716,5770
21130,21130,Unknown,date,6,18830,3138.3333333333335,4891
21131,21131,CPU and Process Management,bash,2,93875832,46937916.0,93872342
21131,21131,CPU and Process Management,stress-ng,31,120020302414,3871622658.516129,120000187999
21131,21131,I/O (File and Disk Operations),bash,1,5723,5723.0,5723
21131,21131,I/O (File and Disk Operations),stress-ng,946,484983558,512667.6088794926,119496066
21131,21131,Memory Management,stress-ng,111,1655695,14916.17117117117,74976
21131,21131,Networking (Socket and Communication),stress-ng,9,138360359,15373373.222222222,138217428
21131,21131,Signal Handling,stress-ng,1,3762,3762.0,3762
21131,21131,System Information,stress-ng,6,38918,6486.333333333333,17718
21131,21131,Timers,stress-ng,1,5987,5987.0,5987
21131,21131,Unknown,bash,8,19760,2470.0,4180
21131,21131,Unknown,stress-ng,28,57285,2045.892857142857,5985
21132,21132,CPU and Process Management,stress-ng,50,120011509521,2400230190.42,119999468575
21132,21132,I/O (File and Disk Operations),stress-ng,7,83407,11915.285714285714,50689
21132,21132,Memory Management,stress-ng,4,36743,9185.75,15675
21132,21132,Synchronization and Timing,stress-ng,1,127438,127438.0,127438
21132,21132,System Information,stress-ng,2,7783,3891.5,6159
21132,21132,Timers,stress-ng,4,13403,3350.75,6276
21132,21132,Unknown,stress-ng,4,10229,2557.25,3970
21133,21133,CPU and Process Management,stress-ng,50,120018064666,2400361293.32,119998772036
21133,21133,I/O (File and Disk Operations),stress-ng,7,118666,16952.285714285714,70885
21133,21133,Memory Management,stress-ng,4,33502,8375.5,23908
21133,21133,Synchronization and Timing,stress-ng,1,264735,264735.0,264735
21133,21133,System Information,stress-ng,2,12606,6303.0,8793
21133,21133,Timers,stress-ng,4,10954,2738.5,7771
21133,21133,Unknown,stress-ng,4,11493,2873.25,4058
21134,21134,CPU and Process Management,stress-ng,50,120014953530,2400299070.6,119999132199
21134,21134,I/O (File and Disk Operations),stress-ng,7,80613,11516.142857142857,46307
21134,21134,Memory Management,stress-ng,4,29557,7389.25,18479
21134,21134,Synchronization and Timing,stress-ng,1,199090,199090.0,199090
21134,21134,System Information,stress-ng,2,7234,3617.0,5584
21134,21134,Timers,stress-ng,4,9312,2328.0,5778
21134,21134,Unknown,stress-ng,4,9643,2410.75,3626
21135,21135,CPU and Process Management,stress-ng,50,120010833705,2400216674.1,119998847772
21135,21135,I/O (File and Disk Operations),stress-ng,7,89409,12772.714285714286,53448
21135,21135,Memory Management,stress-ng,4,36457,9114.25,26586
21135,21135,Synchronization and Timing,stress-ng,1,340868,340868.0,340868
21135,21135,System Information,stress-ng,2,8064,4032.0,6120
21135,21135,Timers,stress-ng,4,12007,3001.75,7857
21135,21135,Unknown,stress-ng,4,10324,2581.0,3755
21136,21136,CPU and Process Management,stress-ng,34,75793,2229.205882352941,5555
21136,21136,I/O (File and Disk Operations),stress-ng,3,75031,25010.333333333332,62871
21136,21136,Memory Management,stress-ng,128,843785506,6592074.265625,84301951
21136,21136,System Information,stress-ng,20,42989,2149.45,5002
21136,21136,Timers,stress-ng,1,3151,3151.0,3151
21136,21136,Unknown,stress-ng,1,3756,3756.0,3756
21137,21137,CPU and Process Management,stress-ng,34,70973,2087.4411764705883,5365
21137,21137,I/O (File and Disk Operations),stress-ng,3,59032,19677.333333333332,48261
21137,21137,Memory Management,stress-ng,128,946620404,7395471.90625,79986132
21137,21137,System Information,stress-ng,20,44638,2231.9,5203
21137,21137,Timers,stress-ng,1,1914,1914.0,1914
21137,21137,Unknown,stress-ng,1,3294,3294.0,3294
21138,21138,CPU and Process Management,stress-ng,34,70367,2069.6176470588234,5277
21138,21138,I/O (File and Disk Operations),stress-ng,3,52860,17620.0,43041
21138,21138,Memory Management,stress-ng,128,961242400,7509706.25,74440502
21138,21138,System Information,stress-ng,20,42656,2132.8,5123
21138,21138,Timers,stress-ng,1,2325,2325.0,2325
21138,21138,Unknown,stress-ng,1,2911,2911.0,2911
21139,21139,CPU and Process Management,stress-ng,34,73035,2148.0882352941176,4610
21139,21139,I/O (File and Disk Operations),stress-ng,3,52833,17611.0,42746
21139,21139,Memory Management,stress-ng,128,998514037,7800890.9140625,79315952
21139,21139,System Information,stress-ng,20,44757,2237.85,4657
21139,21139,Timers,stress-ng,1,2129,2129.0,2129
21139,21139,Unknown,stress-ng,1,2960,2960.0,2960
21153,21153,CPU and Process Management,bash,2,149492,74746.0,148628
21153,21153,CPU and Process Management,sleep,1,1599,1599.0,1599
21153,21153,I/O (File and Disk Operations),bash,1,1688,1688.0,1688
21153,21153,I/O (File and Disk Operations),sleep,17,57318,3371.6470588235293,17996
21153,21153,Memory Management,sleep,16,50305,3144.0625,7067
21153,21153,Synchronization and Timing,sleep,1,60000309298,60000309298.0,60000309298
21153,21153,Unknown,bash,8,5995,749.375,1374
21153,21153,Unknown,sleep,6,5015,835.8333333333334,1308
21159,21159,CPU and Process Management,bash,2,44643137,22321568.5,44638830
21159,21159,CPU and Process Management,lttng,18,49137,2729.8333333333335,5938
21159,21159,I/O (File and Disk Operations),bash,1,6487,6487.0,6487
21159,21159,I/O (File and Disk Operations),lttng,57,94180887,1652296.2631578948,17833891
21159,21159,Memory Management,lttng,74,1086726,14685.486486486487,76491
21159,21159,Networking (Socket and Communication),lttng,3,135880,45293.333333333336,68382
21159,21159,Unknown,bash,8,26901,3362.625,5974
21159,21159,Unknown,lttng,7,25764,3680.5714285714284,5826
