PID,TID,Category,procname,count,total_time_ns,avg_time_ns,max_time_ns
21018,21018,CPU and Process Management,stress-ng,117,734069502,6274098.307692308,726562139
21018,21018,I/O (File and Disk Operations),stress-ng,17,1061179695,62422335.0,561284248
21018,21018,Memory Management,stress-ng,3,50960,16986.666666666668,25930
21018,21018,Synchronization and Timing,stress-ng,22211,119183525837,5365968.476745756,10094531
21018,21018,System Information,stress-ng,2,3705,1852.5,2809
21018,21018,Timers,stress-ng,5,25938,5187.6,7549
21018,21018,Unknown,stress-ng,4,4788,1197.0,1665
21019,21019,CPU and Process Management,stress-ng,1,1610,1610.0,1610
21019,21019,I/O (File and Disk Operations),stress-ng,23,120727262626,5249011418.521739,16214613623
21019,21019,Unknown,stress-ng,1,1758,1758.0,1758
21020,21020,CPU and Process Management,stress-ng,1,2384,2384.0,2384
21020,21020,I/O (File and Disk Operations),stress-ng,30,120728122393,4024270746.4333334,13843369927
21020,21020,Unknown,stress-ng,1,2130,2130.0,2130
21021,21021,CPU and Process Management,stress-ng,1,2233,2233.0,2233
21021,21021,I/O (File and Disk Operations),stress-ng,16,118970267692,7435641730.75,16425457126
21021,21021,Synchronization and Timing,stress-ng,7,1755503111,250786158.7142857,252150498
21021,21021,Unknown,stress-ng,1,1841,1841.0,1841
21022,21022,CPU and Process Management,stress-ng,1,2254,2254.0,2254
21022,21022,I/O (File and Disk Operations),stress-ng,21,120726899058,5748899955.142858,19467225115
21022,21022,Unknown,stress-ng,1,1898,1898.0,1898
21023,21023,CPU and Process Management,stress-ng,1,3204,3204.0,3204
21023,21023,I/O (File and Disk Operations),stress-ng,18,118723761665,6595764536.944445,16403481810
21023,21023,Synchronization and Timing,stress-ng,8,2001898195,250237274.375,250357774
21023,21023,Unknown,stress-ng,1,2311,2311.0,2311
21024,21024,CPU and Process Management,stress-ng,1,2184,2184.0,2184
21024,21024,I/O (File and Disk Operations),stress-ng,25,120725752688,4829030107.52,14318015823
21024,21024,Unknown,stress-ng,1,2126,2126.0,2126
21025,21025,CPU and Process Management,stress-ng,1,3312,3312.0,3312
21025,21025,I/O (File and Disk Operations),stress-ng,20,118467161228,5923358061.4,17576260708
21025,21025,Synchronization and Timing,stress-ng,9,2259176000,251019555.55555555,254137029
21025,21025,Unknown,stress-ng,1,3044,3044.0,3044
21026,21026,CPU and Process Management,stress-ng,1,3457,3457.0,3457
21026,21026,Event Polling and Notification,stress-ng,1,95727086,95727086.0,95727086
21026,21026,I/O (File and Disk Operations),stress-ng,229,120629950159,526768341.3056769,16702995053
21026,21026,Unknown,stress-ng,1,3210,3210.0,3210
21027,21027,CPU and Process Management,stress-ng,1,3373,3373.0,3373
21027,21027,I/O (File and Disk Operations),stress-ng,20,118471847049,5923592352.45,17057427004
21027,21027,Synchronization and Timing,stress-ng,9,2252579058,250286562.0,250518749
21027,21027,Unknown,stress-ng,1,3288,3288.0,3288
21028,21028,CPU and Process Management,stress-ng,1,3999,3999.0,3999
21028,21028,I/O (File and Disk Operations),stress-ng,74,120726208534,1631435250.4594595,15878105906
21028,21028,Unknown,stress-ng,1,3148,3148.0,3148
21029,21029,CPU and Process Management,stress-ng,1,3407,3407.0,3407
21029,21029,Event Polling and Notification,stress-ng,1,84155693,84155693.0,84155693
21029,21029,I/O (File and Disk Operations),stress-ng,233,120640684999,517771180.2532189,13537251057
21029,21029,Unknown,stress-ng,1,3114,3114.0,3114
21030,21030,CPU and Process Management,stress-ng,1,2224,2224.0,2224
21030,21030,I/O (File and Disk Operations),stress-ng,28,117566727281,4198811688.607143,15836039875
21030,21030,Synchronization and Timing,stress-ng,9,3005979767,333997751.8888889,336283468
21030,21030,Unknown,stress-ng,1,2914,2914.0,2914
21031,21031,CPU and Process Management,stress-ng,1,1899,1899.0,1899
21031,21031,I/O (File and Disk Operations),stress-ng,158,120724370832,764078296.4050633,13542316322
21031,21031,Unknown,stress-ng,1,1807,1807.0,1807
21032,21032,CPU and Process Management,stress-ng,1,2144,2144.0,2144
21032,21032,I/O (File and Disk Operations),stress-ng,28,117565481455,4198767194.821429,15836165203
21032,21032,Synchronization and Timing,stress-ng,9,3006279608,334031067.5555556,336412882
21032,21032,Unknown,stress-ng,1,2050,2050.0,2050
21033,21033,CPU and Process Management,stress-ng,1,1745,1745.0,1745
21033,21033,I/O (File and Disk Operations),stress-ng,33,117385612664,3557139777.6969695,15601578285
21033,21033,Synchronization and Timing,stress-ng,10,3339562324,333956232.4,337242098
21033,21033,Unknown,stress-ng,1,1787,1787.0,1787
21034,21034,CPU and Process Management,stress-ng,1,1855,1855.0,1855
21034,21034,Event Polling and Notification,stress-ng,51,110658695904,2169778351.0588236,3998168446
21034,21034,I/O (File and Disk Operations),stress-ng,69,9974158739,144553025.20289856,1327043780
21034,21034,Unknown,stress-ng,18,90544266,5030237.0,90455166
21035,21035,CPU and Process Management,stress-ng,1,1951,1951.0,1951
21035,21035,I/O (File and Disk Operations),stress-ng,27,118050306676,4372233580.592592,16335305674
21035,21035,Synchronization and Timing,stress-ng,8,2675245551,334405693.875,337256433
21035,21035,Unknown,stress-ng,1,1967,1967.0,1967
21036,21036,CPU and Process Management,stress-ng,1,2756,2756.0,2756
21036,21036,I/O (File and Disk Operations),stress-ng,1114,8140044359,7307041.614901257,2022879252
21036,21036,Synchronization and Timing,stress-ng,1114,111833235241,100388900.57540394,104335426
21036,21036,Unknown,stress-ng,1,2467,2467.0,2467
21037,21037,CPU and Process Management,stress-ng,1,1443,1443.0,1443
21037,21037,Event Polling and Notification,stress-ng,55,107348394988,1951788999.7818182,3900767231
21037,21037,I/O (File and Disk Operations),stress-ng,73,12647143063,173248535.10958904,1246064996
21037,21037,Unknown,stress-ng,19,108048,5686.736842105263,7129
21038,21038,CPU and Process Management,stress-ng,1,2545,2545.0,2545
21038,21038,Memory Management,stress-ng,428032,3099447411,7241.158163408343,2767013
21038,21038,Synchronization and Timing,stress-ng,1115,111937442724,100392325.31300448,104342562
21038,21038,Unknown,stress-ng,1,2276,2276.0,2276
21039,21039,CPU and Process Management,stress-ng,1,2719,2719.0,2719
